,0
363,57:22 straight forward taunt for namita 
364,Thanks for this one.️
365,"you deserve so much more views honestly, i wish you success and prosperity. keep up the good work"
366,he is very genuine person i love ashneer
367,loved it 
368,So much enlightenment !! Thanks Raj bhai !
369,First time in life I listened to whole podcast
370,"Right sir,
Hindi is our business language
And remaining about english that is skill only that i should learn for conversation with abroad people."
371,This was one of the best podcasts to hear! So much to learn and understand.
372,"The only issue with today's fintechs is, they consider regulators as a BIG hindrance to their growth story. For them, there shouldn't be anything called compliance. 

They laugh at the growth stories of the age old financial institutions because they took time to glory. 

THIS ATTITUDE OF FINTECHS WILL MAKE THEM EXTINCT AFTER 5 years of being in the market. Because the investors are nobody's relative except for the Profits. 

So let's see where will these 12% & Postpe's of the World be standing after 5 years from now."
373,"57:57
I got to know why Ashneer use the word ""Dhanda"" instead of business.
Hindi gives him more clarity so that he can express opinions in honest way."
374,His point of saying no is so true. I need to learn it more .
375,Very RAW ... really helped a lot FIGURING OUT a lot of things !
376,"ASHNEER GROVER !!!! 2022 SENSATION...

PERSON OF THE YEAR...BY FAR.."
377,A person can learn a lot from this interview. It is worth watching 
378,"I like The point said ki pahle log majburi me entrepreneur ban jate the kyunki aur koi option nhi tha, like our fathers generation, achchi job nhi mili to business khol lo, there was no other option or back-up they just did it, competition to tab bhi tha  and m glad many our parents could do that's why we are able to understand this interview here "
379,"To all those persons who were judgemental for ashneer character, its time to think straight forward in your life."
380,Good PR strategy after being found of irregularities in financial transactions at Bharat Pe. Not to mention the rude behaviour he had towards a Kotak employees.
381,only podcast which i completed in 1 sitting without losing concentration.
382,"From here 1:09:56, I love his helping nature !!! Bcoz I m that guy who pass sometimes judgement ki bhai tu yahan kese fas gaya !!! I want to be like Ashneer helping nature without asking why u r in that shit !!!"
383,"some people get stuck in consuming information and never take action, but he changed my mind that he never listened to any podcast or have not read any motivational or self help  book...... woohooo"
384,"You should have asked about Kotak issue,ik its hard for him there,but as even this was his choice,did he say you to not ask?"
385,He's one of the most interesting entrepreneur in India.
386,1:01:50 I think Ashneer felt that feeling everytime Raj started speaking Business Language
387,Thank you for this conversation.
388,Most apt statement “Indian customers are most spoilt customers in the world” 
389,"I can't say thank you enough for this  is very special podcast for me I am not only learn business and knowledge, my mindset and perception is totally changed"
390,Worth watching 
391,i mean the clearity of the thought of ashneer and raj is so much great ....thanks
392,#Dhanda  simple and straightforward 
393,Raj is the only podcaster who let's his guests speak for as much time they want to.
394,Mazza aa gya!! Mind blowing conversation
395,"Great Podcast, Learnt a lot and Ashneer got me to change some of my views on things and how see them differently, Gem of a person didn't want him to stop talking :)"
396,"I would like to see the Next podcast with Peyush Bansal. 

Thanks in advance"
397,"Shark tank teaser k baad mai excited tha, business se jude hone ki vjh se, Ashneer ki baate mujhe buri nhi lgti thi he is honest. Paise ped pr nhi ugte introgate to karna padega. 
Dhanyavaad Ashneer ko laane ke liye."
398,Ashneer is a Brlliant Finance Icon. His ideas are Wonderful
399,"I am big fan of Ashneer sir 
️️🇳🇵"
400,I applied ashneer Grover sir as my wall paper with the line - bhai kar kya Raha hai tu ... Trust me it works  abridging the usage time
401,"The most candid entrepreneur out there. Focused, no nonsense only facts"
402,"When moral values and humanity become celebrities Bharat will be on an inclusive path.  Lets take poor and middle class with us and grow.  Adding wealth to society is important.  CSR is one such initiative, we need more."
403,41:33  very important fundamentals for entrepreneurship
404,He is real and practical guy
405,"Asneer has taught more then 2 year full time MBA +3 years job experience in a single 1 hour talk .......
Only thing is he need to channellise his anger from words towards more involvement into business, if he can do that, he can beat elon musk and Jeff bezos together. 
He need to keep calm and become more classy or funny when he is angry. 
This view is based on current scenario in Feb 22."
406,Amazing interview.....
407,"amazing conversation, like we see the as usual side of the ASHNEER sir (A STRAIGHT FORWARD MAN) , its totally absolutely mind full conversation i have heard first time ,about business problem solving, investors related talk, how you could be a best person in a brutual honesty , ticket size , market cap, role of investor in a company, what are the market problems, how your product will be differ from others..the main part is balancing of NO-YES , meine aaaj tak eesa explanation nahi dekha hoga NO OR YES ka, what the founders have to do ?  .. its a man with full of conviction. and the last the if ashneer sir making more unicorns like the bharatpe then they will definitely changed the market of india.. thanks to raj sir & ashneer sir for making this..."
408,"A lotttttt to learn from Ashneer.. 
Gods language "
409,I got my new favourite person to admire️
410,I can't watch 15 mnts conversation video  but I watched this video. Its really worth!!
411,He is genuine nd straight forward....
412,"I love ashneer sir,The way he speak truly to person, best ha...."
413,"Great conversation
This man is a gem"
414,Superb worth listening conversation
415,Very Valuable inputs by AG.
416,Respect For Ashneer Sir
417,"My father do stocking for buying groceries and other needed items for in-home spending he takes me with him and I used to feel embarassed because other people were buying things on small quantities daily or after few days but now after knowing that this culture is common in U.S and U.K so I will not have to feel embarassed from now, it's a great relief."
418,Felt contentment beautiful conversation
419,"""Ghum fir ke sab baniyagiri hai"" 
                                               - Ashneer Grover, 2022"
420,"Powerful insight from Anshneer, everything comes on point. But, felt Raj Shamani didn't justify the host role here. Needed some powerful host to get dive with Answer."
421,This 1hr podcast has given knowledge of almost 6months worth of college education
422,"Being Gujarati Businessman i know What Required for Business (1) 1st Most Important Burning Desire (2) 2nd Gather Courage to Start Business & Business Requirement (3) Money comes on Third Important,, You can Gather Money By saving,, Loan Etc"
423,Loved it ! Got to know ashneer a lot better
424,"Too deep,
 world  need more people like him!"
425,"I just want you to make one timestamp where ashneer talked about why he choose hindi over english, that was epic! and man the podcast was awesome...kudos to you"
426,Before I wasn't liking him boz of his rudeness or saying to the face of pitchers that u shouldn't do the business or stop it u can't do business...but after watching this came to know his personality n ya now I admire him ...n Aman n Piyush us fav too n on the other side Anupam always gives a positive way to pitchers ..that's also something good point...I can pick many things from them️
427,"A lot of insight in this one, the whole video can be summarized as 'Keep it simple' and 'NO'. Learnt a lot."
428,Clear & Honest thoughts !
429,"Ashneer Sir, love you man."
430,Please bring more entrepreneurs
431,Wow man! Never saw it coming. Real conversation no fake bullshit. Appreciate for making this
432,'Ha' and 'na' me difference ka itna acha logic maine kabhi nhi suna.. So much clarity. I have definitely learnt good things from this podcast.
433,These whole conversation is worth of one year MBA  lecture
434,Inspirational. Gem..
435,Do a podcast with Anupam Mittal my favourite Shark 
436,This gem will run long way.
437,"Great I loved this podcast thanks, for bringing Asheer grover on this channel Raj shamani  learned so much about business in a way like ""straight to the point"" "
438,"And, a million views get completed on this masterpiece. That's Great."
439,"""Ghoom fir ke sab baniyagiri hai"" - Ashneer on point "
440,His rudeness is his honesty 
441,I really love this video 
442,Very good questions are asked and the answers are mind blowing. ashneer bhai you nailed it.
443,So much to learn from Ashneer.. Thank you for this session
444,one of the best interview
445,This is all good but Glad to hear Raj is also indori
446, Good boy keep it up.
447,"Entrepreneurs, soldiers, Industrialists, etc should be our stars and inspiration..."
448,"He should start ""Ashneer Talks""  now... It would cross Bharat Pe Valuation "
449,"His personality traits
1) Observant
2) Brutal honesty 58:51
3) Clarity about fundamental 
4) Ability to make things simple
5) extremely practical and logical
6) Raw and straight forward 59:48"
450,love his truthly nature
451,"When we celebrate Scientist and Innovators in India first and foremost and not just the Elon Musks of US, then Bharat will be number 1."
452,"""Way to many things to learn on this one !"" MUST WATCH"
453,Good conversation...inspiring. A sincere request to host...please select either english or Hindi or any indian language for conversation with your guest. Don't mix it up
454,"""ghum phir ke sab banyagiri hai"" 
Accurate."
455,Thank you Raj for having this conversation with Ashneer sir seriously I loved it ️
456,"I had to look for my notebook, so that I can take notes. immense knowledge <3"
457,"Podcast bhai be like -"" is book/podcast ne aapka dimag change kardiya "" , while his dimag is blown from the awesome insights shared by ""Asli Shark"" . 

Loved the podcast ."
458,Don't ask for advice and come up with a problem statement 🇮🇳
459,"#SaveSoil
Let's make it happen "
460,Very inspiring!
461,"This video gonna get u lot of fame, subscribers and recognition. Finally "
462,I can watch this kind of content even at 240p.
463,"This podcast made my day ! Supreb episode ! 
At first episode itself of ST, I become fan of him and people become fan at end of season  and पहिले 10 सेकंड मे ही मेरे अंदर से हां आयी थी की ये  बंदा सही है ! "
464,4 days..1.5 millions..wow india is on ryt path 
465,"I totally loved it, candid and precise. no bullshit"
466,Ashneer sir is ️️️
467,"That English wala point  lovely man
Whoever hates this man should watch this podcast....he is a true businessman ️️"
468,This man never drinks even tea. But the owner of 4000 crores business!!! Verygood
469,"@Raj I am also non drinker and non smokers. I feel atmost proud to say No at Offerings. I do it with such confidence and proud that it ashamed people who drink. In India, its not -15 degree temperature. So we drink to get drunk. Thats the problem why you need, Meditation gives much better kick"
470,Entrepreneurship is in the blood of IIT DELHI students
471,Best interview i have ever seen
472,We loved it!
473,"Thank you Raj for making this Super exciting podcast.
During shark tank i always looked forward to what will Ashneer tell n of course as he thinks word is very precious so that's why he talk less.
And now here is 1hr 26m 14s with this unique man. Super excited to listen what he'll say at this podcast.
Thanks again."
474,I would really want to meet him in person one day
475,He is so cute the way he went clueless when asked about 3 advices. He said he don't have any advice to give.
476,That's a great interview
477,Ashneer rocks ️never listen person like ashneer ..big fan
478,Ashneer is AWESOME!
479,An insightful interview! Applaud his clarity of thought! Really liked the interaction!
480,Love the session 
481,Ashneer is like strict boss 
482,Great work Raj...
483,we need a better host . Who could dig deeper with ashneer . He has great insights 
484,I want to add a things..that i was a FSE(sales man ) of bharat pe we used to create fake Bharat pe..by adding fake bank account who was not a shopkeeper and i earned a lot approximately  160000 in 3 month..they pays very well to there FSE
485,Such A Great Conversation 
486,"One thing about raj, he is a good listener!"
487,Ashneer is so clear in life🇮🇳
488,Itne podcast dekhe ita straightforward and knowledgeable banda ️ Aslibanya
489,This is good one.. please do one with Piyush as well
490,He has build billion dollar company......but he is talking about market like a local businesswala....Economist were not able to explain it with their definitions also
491,"Great Conversation  Quality Personality Mr Ashneer  
Best quotes: Sometimes you are good to people by not being good to them"
492,This entrepreneur are real heroes of India they should be idolized.
493,This is best conversation i  learned
494,Ashneer sir is person have future oriented clarification of business
495,"Ashneer ka explaination har aadmi ko samjh aata hai, woh kuch dogla pan nahi karta.  Jo kehta hai thok ke aur sach kehta hai.   Thanks you ashneer."
496,Gem answer on relationship!!!
497,"Watched the entire episode. Thanks Raj!
I'd love to get his mentorship and I'm 100% fine with him being rude."
498,"This man is a bloody genius. And that is what matters the most. One should be candid rather than portraying a fake image in front of the world, that's what Ashneer do. He is super candid and that's what makes business"
499,"Hindi is language of ""Dhadha"". Respect "
500,Ashneer sir...u r awesome
501,"In this interview Raj is going sugar coated... Agreeing on every point. 
But then this is a Podcast not an interrogation. No hates though"
502,bring peyush sir also. love this one
503,The fact this long video hit half a million views even before 24hrs of upload tells us how we all are interested to know about entrepreneurship and startups.
504,The best podcast I ever listen
505,"you should start putting behind the scenes also, would be fun i guess. Was a great conversation."
506,15 lakh+ views in just 5 days 
507,Like this interview...My Role Model  Is Still Dhirubhai Ambani... Reading about him inspires me and with the help of that i started a business 3 years ago and running successfully...
508,came here to watch maybe for 5mins.. ended up watching the entire thing
509,Love the amount of clarity Ashneer has in everything he says
510,Excellent podcast
511,Epic conversation!
512,Thankyou ashneer sir 
513,Ashneer what a man!  1.07.00 to 1.21.00 is a gold
514,Wow ..huge respect #ashneersir
515,Your podcasts help me a lot in my life . You're one of my favourite youtubers ️
516,Such a poised person!
517,Great conversation.
518,most valuable video i have ever seen
519,Awesome conversation
520,"silly question asking him that any book inspired him...…look at his qualification before asking this question ... what a answer by Sir ,spend time in market."
521,I loved this podcast. Ashneer is phenomenal. This was such a wholesome conversation.
522,6:22 Ashneer's reaction changes in mircoseconds 
523,You either love him or hate him. There is no in between XD
524,"Ashneer and honesty 
2 parallel things"
525,Great insights !
526,"In India Everybody want to meet with Filmstars cricketer and Footballer
But I want to meet with
Ritesh Agrawal , Vijay Shekhar Sharma , Kunal Shah , Nitin Kamath , Nikhil Kamath , Aman Gupta and Ashneer Grover
We are not same"
527,"aare such a great podcast with such a great person , his honssty is mind blowing and it can be seen in shark tank , also raj's stype of asking question were also great he asked questions that were very basic but also very deep ️️️"
528,"58:00 Ashneer perfect example of ""No means no"""
529,He is so sorted and on point
530,Ashneer Sir ️
531,Such an enlightening talk...
532,I became a fan of this guy - love you so clear - When Ashneer leave Bharat pe then i will close my 12%Clun account - i have put money only because Ashneer
533,Great show......I loved the great interviewing chemistry between both u.
534,Amazing  Greetings from Scotland  Have a wonderful day everyone 
535,Most of the people will find it political but modi's effort on startups made it possible
536,He reminds me of Gautam Gambhir. Speaks what he feels.
537,"A big tight slap on people who thinks English is the must get success in life, thanks to Ashneer."
538,Thanks for the video 
539,finally someone has brought him on a one on one podcast
540,I like the honesty of Ashneer.
541,Superb Podcast!
542,He is so intelligent ... ! Big fan !!
543,Ashneer has a style.. of honesty
544,Real-life lesson 58:26
545,"I am deaf to all the controversy, cases, etc! I just love him! I want him to be every episode of shark tank in season 2, 3, 4, 5 etc!

He is the best as a person , as an investor & as a shark! Love him"
546,Great conversation ...
547,28:59 What a line!!!
548,this man
549,"Great interviewer, Ashneer to humesha insightful hota hi hai."
550,National public school is proud of you bro
551,"I m from Bangladesh; thank you for such an excellent podcast. Without a great heart, nobody is going to share this much knowledge."
552,this Podcast is mare than  to my 3 years of college Degreee.
553,After long time raj.. Finally u got the awesome views.. Ise kehte h behti ganga m haath dhona 
554,Thank you Bhai ️️
555,This is first interview I have watched it properly at last second
556,ADMI ACCHA HAI SIRF PROBLEM HAI KI  SACCH BOLTA HAI......
557,One of the best session.loved it!!
558,What a episode!
559,Most of the time the interviewer was just repeating what Ashneer said. If you look closely he is just agreeing with everything instead of having enough intelligence or research to counter the views of Ashneer which could result in a much better conversation. Could have been a much better interview if the questions were more around some facts and actual insider business actions taken by Ashneer and the consequences of it.
560,thanks for bringing it out
561,Great conversation
562,Whatching shark tank after this jus changes the entire perspective ina good wayyy
563,"A big Thankyou to Raj & Ashneer!
I am out of words."
564,39:40 mera din ban gaya Ashneer I am with you.
565,This man has gained and earned so much ego in past few years
566,Worth spending 1.5 hr..  got to learn core business lessons...   How to survive in the competitions....
567,Ashneer is a representative of community Jo drink nahi karte. Nahi pite to nahi pite baaki kya kar rahe hai hume farq nahi padta 
568,Loved it
569,Mr. Ashneer is one of the most Rational Person out there in the startup ecosystem.
570,Bhai aise hi hindi me hi podcast baniye thank you for providing great content
571,I never watched shark tank but listening to this podcast i really liked this it and ASHNEER GROVER seems like Ranvir Singh from band baja baraat when he said Mae binness karrha hoon .
572,Ashneer Grover... Bestest...
573,"I like this guy,,...he has created jobs for lot of Indians.....I really feel bad is what happening to him in Bharat pay board....they are afraid of his celebrity status"
574,Ashneer is the hardcore businessman
575,Man one of the best personalities I have ever seen... I genuinely want to be such raw... He is now my admiration... Honesty is a must man... Others will definitely understand you with time 
576,hats off to his belief..........
577,Please can you do a podcast with anupam mittal ji. It helps lots of people's.
578,Poora 1 ghanta 23 min dekh dala… Dnt remember the last I saw a YT vid or even a Movie for tht long
579,Bahut sahi banda hai yeh️
580,"Bahot badhiya business hai, but I'm out 
Sedhi baat clear hai "
581,1st video of 1hr N above I listed and watched with skipping at any point and learned & enjoyed every part of it.
582,He should have scolded you for asking him to scold you. That was just stupid after what he truly explained through in the episode.
583,"Just installed postpe, and got limit of 1000 . Whereas Slice gives me limit of 90,000 "
584,I am becoming a fan of this person.
585,Ashneer has a charm feels like listening to him
586,Best knowledge Ever!
587,So much to learn from this guy!
588,Education is stepping stone to success. As an operator you need to figure out your way in shaky markets.. so precise ..
589,"Ashneer sir ke interview ke lie mature banda hona tha... I m fan of u ashneer sir... 
Kya clarity hai.. "
590,ashneer should check the review of his app for ios
591,"If there was to be a name for the minimalistic mind, then I would call it Ashneer."
592,Tony stark of India Love this man
593,"Best conversation I have ever seen.
Ashneer grover you killed it️"
594,"Ashneer is like that doctor who asks people to eat healthy and exercise and is hated; contrary to the person who asks all the people to eat junk, laze around and is loved."
595,The Host seems to have got money to not ask correct straight forward questions. He was just saying yes to everything.
596,He is my role model
597,Waiting for it .... Ashmeer is true to its core...   Banda gazab h
598,This guy is legitly a dhandha wala 
599,Great Interview Just loved it! though have one thing to point out here in USA UK Canada there are primarily Big grocery giants like Costco Walmart and people do stock it for a month as stores are pretty far away and they don't have privilege to get fresh stuff everyday! In India people are fortunate enough to have options for fresh produce where you can find vegetable venders probably every 10 minutes out side your home! in western world they mostly eat frozen meat and fruits veggies from cold storage and they don't have choices as they don't grow as much we do in India. their geographical conditions and extreme weather wouldn't allowed that! so Indians should be grateful about what they are getting as copying western world wouldn't be always a nice choice.
600,Would be lovely if this super shark meets the legend Rakesh jhunjhunwala..
601,Really want one podcast with Peyush Bansal !
602,"we would love to have Peeyush Bansal too, can you have him Raj bhai?"
603,50:24 this is what made him stand out as the different and more popular shark
604,53:50 Nice timing!
605,Totally changed our perspective for ashneer …..listening this podcast while driving and really enjoyed it
606,Ashneer sir is the best and an ideal for every entrepreneur
607,Aaye big ups man️
608,A very sunnict interview
609,Got to know more about him 
610,"I can totally relate to the teetoataler thing.
Sadly i always feel fomo."
611,"There is a difference between being rude and being straight forward - he is straight forward to me so i respect him. 
you might just not like the fact that he said Maar dunga and if u think this is normal so we should not hate him or you can think even if its normal, these things should not be normal so we should criticize it, I respect both the opinions. People have different opinions and we should respect all. Opinions and clear cut hatred are different right? We should respect opinions and criticism but don't throw shade for wrong reasons.
I like Ashneer sir because he is straight forward, but my favorite shark is Peyush cz he's very tech oriented like me and supports the long term vision, he really have some same values like me so he's my favorite. Vineeta is my second fav and ashneer is 3rd. I respect them all tho."
612,Simply best !
613,The only podcast I watched till the end.
614,Really Awesome Video.....
615,"Couldn't have asked any better - Mr. Vinod Khosla has this mentioned in his website - 'We prefer brutal honesty against hypocritical politeness' - Ashneer Grover sir also gave the logical analogy behind it - Highly appreciated, Take a bow "
616,Ashneer Grover Is making his own Fanbase after shark tank...
617,"From twitter to YT full watched and thought, what another name we should recommend for ashneer

1. Unfiltered Entrepreneur
2. A man with clear thoughts 

Bande ka dimag pura baniye wala hai"
618,"Raj to Narendra Modi: Sir there is one thing that connects the two of us. I also don’t drink . 

NaMo: Tho Kare Chai pe Charcha"
619,His 'daftar' word hits differently everytime.
620,"Being Gujarati Businessman i know What Required for Business (1) 1st Most Important Burning Desire (2) 2nd Gather Courage to Start Business & Business Requirement (3) Money comes on Third Important,, You can Gather Money By saving,, Loan Etc"
621,Being Pakistani. I would meet Ashneer soon. I feel we have same business acumen.  Geopolitical environment is changing. I believe we will meet soon.
622,"️️️️Ashneer️ ️️️️️
No Drinking. All india with u bcoz of no   drink"
623,"1 thing from this podcast,
""Saying NO means how you are solid at saying YES."""
624,His ideas are crystal clear
625,Beautiful Conversation. Raj aapke question karne ka tarika accha laga.
626,Ashneer be like : sidhi bhaat no bakwas 
627,"Ashneer is such a down-to-earth person, he has so much money but Bhai do saal purani hoodie pahan kar baithe hai "
628,we expect piyush and aman gupta soon
629,Ohh my gooodness!!!! The things he said from 33:00 ..its fantastic...pure enterpreneur and the one who knows what buisness is.
630,when he says nykaa... i feel his pain
631,Aaka fanda itna clear hai ki ek bhi baat dimag ke upar se nhi jata ek ek point ache se samajh aata hai...Sir you are amazing...You are very straight forward...Love you sir
632,Very pertinent thoughts !!!
633,Ashneer grover rejects more offers in shark tank india because he knows what is profitable and how much I should invest on the product but sometimes ashneer loses best offers.
634,Very inspired by you ashneer sir
635,I love this guy because he is a very honest guy.....
636,"Desi guy who understand every difficult english word nuances, succinct "
637,29:00 best philosophy
638,"At 27:30 -Ashneer is not being straight forward here, app says ""Earn *upto* 12% on your investment"" . ""Upto"" is not the same as fixed 12%"
639,"Raj shamani - 1 
Trs podcast - 0
Opportunity captured bro "
640,In short He is the best enterpreneur in INDIA . A cool Whale  not shark 
641,This guy is truly great person 
642,"bhai bohot sahi interview lia hai, flow bohot sahi hai. kaafi jada engaging and questions bhi on point hai"
643,I really love this guy
644,Big Fan of Ashneeer Bhai  Dhanda ki sahi paribhasha 
645,"Funnyyy, when raj endorse ashneer's statements"
646,good job sir
647,What a podcast really loved it 
648,Such a brilliant mindset of Ashneer. Ye aise mindset wala banda hi dhanda bana sakta hai.
649,"After Kunal Shah, Ashneer has become my tat favourite"
650,"Doing Business is like Dating 

That simple"
651,abusive approach towards someone in the name of being real or straightforward should not be appreciated
652,hatts off to ashner sir
653,This guys is a legend!! I have become a fan of ashneer Grover!
654,Good I had got a different perception on Ashneer by this it does change my thoughts Good time spend with a decent Quentinere
655,I saw the whole podcast in 2x
656,"बहोत अच्छा interview है,, हिंदी में है तो सब समजता है "
657,"Reality is Ashneer ko nazar lag gyi hai, i noticed his downfall started after he made the statement ki ""20000 crore ka dhndha hai 20 crore roz ka"".  You know there is a saying in Haryana ""नजर, हाय और टोक पत्थर को भी तोड़ देती है"" means evil eye can even break the stones. 
I'll pray ki sab thik ho jaye jaldi se. "
658,I actually watched the whole episode damn....
659,"""ASHNEER GROVER "" THE BESTEST ENTREPRENEUR I'VE EVER SEEN IN MY ENTIRE LIFE.
SO Much to learn from this man️.
LITERALLY, I'm very much inspired by this man️."
660,"Okay ...I loved this guy on Shark Tank and I have got more reasons to love him now 
Such a badass and honest fellow with so much of thing to learn from."
661,Lovely Podcast. Did listen completely with no distraction and full concentration. Loved the way conversation went through. Quite candid and logical replies.!!
662,"What a interview, just awesome to the point  questions & straightforward and clear answers "
663,Brilliant content Raj. Wishing you great success with the channel.
664,"I am so inspired by him .
Love his attitude and personality ️️"
665,Best interview ever watched....straight forward and brutally honest #Ashneer  #tothepoint
666,"Big fan of Ashneer sir because of his straight forwardness  and honest opinion about the business ideas,no sugar coated words and faltu opinion."
667,"Loved the conversation!
Ashneer, you’re the best!"
668,Now we have real heroes and role models to look at and follow....kudos
669,Thank you for providing highly valued content fo free 
670,I would say this was truly an amazing podcast!
671,Mind blowing podcast. Favorite shark on board. Podcast with kunal shah and ashneer are damn killing.
672,Amazing interview! Ashneer is a great person!
673,"In every shark tank show there’s a clever bad ass straight forward shark, Ashneer is the one in Shark Tank India."
674,best podcast i have ever seen and best entrepreneur. also his knowledge and clarity is immense.
675,I really felt it good when he stressed on speaking Hindi hats off man just speaking English won't make others feel that what we're doing is right
676,"Content gets really mature from the half of the podcast! 
Ashneer what a gentleman ."
677,"This guy is just right on point, i don't know why he thinks people may not like him in the first encounter, because for sure i did! This type of straightforwardness and attitude is really hard to culture, great interview, thanks for bringing this to us on this platform.!"
678,"You are the man thanks for sharing this word,it would surely help me in further business"
679,This guy is  super honest. I'm damn like it
680,Very honest conversation. What I like the most about him is speaking his mind at all time. A spade is a spade and at certain time it can be bloody shovel.. that's okay....
681,"I feel, he is the best Shark and its better to have these types of roles both in professional and Personal life.

Reason: Its best to face it now, rather than latter. Also, one's reach in thinking (deeper) improves him/her & best to have it NOW for clarity."
682,"Yeh interview sunne ke baad lag raha hai. Mujhe bhi Ashneer jaisa banna chahiye.. Sab kuch sach sach bol dene se life kitni easy ho jayegi .. 
Mad respect for Ashneer! :)"
683,"The more you listen to him, the more you like him. There's no denying that!"
684,When customers will go to the market and pull your product and put it in the basket that is the time when your product will start making real money.....LOVED THAT The Way Ashneer Said.....
685,After watching this podcast my point of view for him is changed ️
686,Omg .....what a lovely podcast I ever listened 
687,"Simply, he understood life and that's why he has forward answer.
Believe me guys, in this world  
A person with few or no friends 
Majority, people won't like to be with mature people, it's like aare yaar pakka mat, aagaya gyan dene etc etc .... 
So, now minority people are mature / intellectual and majority u can find on social media,  I hope u can understand guys. (I'm not telling social media bekar log hai )  "
688,one the best podcast i have ever seen. learned a lot.
689,This podcast is almost equivalent to a book by a big author
690,"1:13:17 Ashneer really said "" Hum waha khade hote hai jahan Matter bade hote hai "" "
691,Literally we all need a friend like ashneer bhai
692,Best podcast I have evere listened 
693,This man is so clear in his mind
694,Best thing I have ever seen on entrepreneurship . Love you ashneer bhai
695,Aahneer is the real shark he talk in Desi styles...we need such character who are blunt and crystal clear
696,"Excellent questions for a legend, already subscribed"
697,WHAT A GR8 CONVERSATION I HAVE EVER SEEN IT WILL IMPROVE MY ATTITUDE TOWARDS BUSINESS
698,He is a Great Shark. I like his comments. One day definitely would like to meet him.
699,Best Part his Brutal Honesty
700,Thanks mate literally made me fan of this guy ashneer
701,best podcast i ever seen. G.O.A.T
702,He is simply brilliant
703,"Amazing, its true - Dont judge a book by its cover."
704,This is Shamazing Shamani bhai  loved your disappointed face when your tricks didn't work with the Shark 
705,he is the boss 
706,Massive podcast boom on figuring out podcast 
707,"Great talk.
First time I have watched any podcast of more than 1hr without any break."
708,your most watched video ever Raj and that too in 1 day time...Awesome
709,"Loved it, need more of this"
710,"It's okay to say NO.
Amazing framework behind this :))"
711,"So funning episode- 
Ashneer will be like- kaha fas gaya, isko kaise samjhau
Interviewer is like- Say me something catchy for my podcast 

Sad reality sab ko masala chaiye, Ashneer is pure organic masala, he still needs to get something politically correctness response out of him.


WOW!!"
712,Daamn yaar he is so intelligent and crisp. 
713,Great one️
714,Ashneer would lit your show bro
715,Huge gap in knowledge between Ashneer and Raj. Was quiet evident 
716,"Lots of Learning.
Thank you very much."
717,Love the clarity of asneer sir
718,"JUST AMAZING,️️️️️"
719,Much needed Podcast with Ashneer.
720,This is what we wanted all along great podcast.
721,One of the most amazing Episode . Loved it Raj
722,Masterclass. Absolutely iconic!
723,Best interview to gain knowledge... No sugar coated answers
724,Teacher are hated at young age but in mature age both successful or failure people remembered that teacher who impacted his/her life. Ashneer is as like that but in business field.
725,It's Amazing 
726,"Amazing conversation, please bring more sharks on the show"
727,"Ashneer is the star of Shark Tank India, The show is just diplomacy of sugar coated words without him. We need him and people like him in the show"
728,Great conversation.....Ashneer sir you have my respect..
729,Stand out guy
730,Bhai this Podcast has killed it. Amazing content
731,Amazing one 
732,"800k+ views in 1 day. Lots of love & respect for raj bhai
Insane 
This is the only podcast i want "
733,really love his brutal honesty
734,"So much clearity he have,and observation of market"
735,we fundamentally have wrong role models and we need to make them the heros who provide employement in india then we'll grow as a country
736,beautiful podcasts!!
737,Just loved the conversion. So meaningful and indepth.
738, lots of respect
739,I always wonder how your channel haven't reached  million subscribers! You seem to be one of  the top creators.
740,It was a great episode
741,"There is a reason why only Ashneer got invited to a podcast like this!
I bet none of the other sharks are as knowledgeable and intelligent than him!
This guy is a true legend!
Respect!"
742,"Ashneer is one of the best shark , practical and honest"
743,never judge a book by its cover
744,please continue this entrepreneurs series
745,This is going to be Most watched video on this channel for sure
746,"When I watched Shark Tank for the first time I was like is this guy for real? How can he talk like that? 
Then gradually he made me realize the guy is on the point, honest and very knowledgeable of what he does. 
Kaam ka banda hai ye"
747,Ek fact agree karna padega bro.. without  ashneer shark tank might get bored. Also I started watching shark tank after watching his clips from shark tank only 
748,"""I am not here to be an Indian version of an American Shark"""
749,"1:17:04 ""You have to solve a problem , you can't be the problem"" - Ashneer Grover"
750,"most straight forward guy, love this man......"
751,"""When life makes you Shark be Piyush/Anupam not Ashneer."""
752,"Banda kafi sahi hai. Straightforward hai, clarity, ambition, conviction hai. Isako pata hai ki 5 ya 10 years down the line kya & kaise karna hai. Agar isake jaisa mentor mile, toh maja aa jaye."
753,The entire time they talk intellectually and what caught my attention is PANJU FAMILY
754,"Loved Ashneer on Tank, loved him here, love him head to toe."
755,"I learn art of saying NO from this conversation . 
thanks man for this podcast ."
756,Rightly said! Very informative video. Quality character by Ashneer sir 
757,"first ever podcast that  I listened ,and it was great"
758,"he is really awasome,learn a  lot"
759,Fluctuations in Ashneer Expressions from smiling face  to Straight face  is so damn fast
760,"what an interview. who the $uck is this interviewer.. Super guy!!!!  what an amazing conversation he built with Ashneer, it couldn't be better than this."
761,Hey man.... This is the best thing... I will gonna put Ashneer's picture in my room. If someone want to be entrepreneur in India don't read any book just watch this episode. Super amazing     
